,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,0,0,0,0,1,1,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,
3,2,0,2,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,4,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,10,0,0,6,19,0,2,10,10,0,1,0,0,1,0,0,1,1,1,
5,0,0,0,0,0,0,1,3,1,0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,1,1,1,0,3,1,1,1,1,1,0,1,1,1,0,1,1,2,2,1,2,2,2,0,2,0,2,
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,12,1,1,1,1,1,1,1,2,2,12,1,1,1,1,1,1,1,
7,4,4,4,0,4,4,0,4,4,4,0,4,4,4,4,4,4,1,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,1,1,3,3,3,3,3,3,3,1,3,3,
8,1,5,1,5,5,1,1,5,1,5,1,5,1,5,5,1,1,5,1,5,1,5,1,5,5,1,1,5,1,5,1,5,1,5,5,1,1,5,1,1,1,1,1,5,5,1,1,5,1,5,1,5,1,5,5,1,1,5,1,5,1,5,1,5,5,0,1,5,1,5,0,5,1,5,5,1,1,5,1,5,1,5,1,0,5,1,1,5,1,5,1,5,1,5,5,1,1,5,1,5,
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,
10,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
11,1,1,1,1,1,1,1,1,1,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,27,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,7,1,1,1,1,1,1,27,1,1,1,1,1,1,5,1,1,27,1,1,1,1,1,0,1,1,1,30,1,1,1,1,1,1,1,1,1,30,
12,6,6,6,6,6,1,1,1,1,14,6,6,6,6,6,1,1,2,1,1,7,0,7,7,7,11,11,11,11,11,13,6,6,6,6,30,3,30,30,30,1,1,1,1,1,2,2,2,0,2,6,0,6,6,5,1,1,1,1,1,6,6,6,6,2,1,1,1,1,1,6,6,6,6,5,1,1,1,1,1,6,6,1,6,5,1,1,1,1,1,6,6,3,6,6,14,14,14,14,14,
13,2,2,2,2,1,1,2,0,2,2,2,2,2,2,1,1,2,2,2,2,17,17,1,17,12,12,17,17,17,17,17,17,17,17,12,12,17,17,17,17,17,17,17,17,12,12,17,21,17,17,2,2,2,2,1,0,2,2,0,2,0,17,17,17,12,12,17,17,17,17,2,24,2,2,1,1,2,2,2,2,2,2,1,2,1,1,2,2,0,2,2,2,2,2,1,1,2,2,2,2,
14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,8,20,2,20,20,20,20,20,8,20,20,20,20,20,20,20,20,18,20,20,0,1,20,1,20,1,20,2,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,20,24,24,1,24,26,26,26,26,26,26,
15,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,6,6,6,6,6,6,6,6,6,6,9,20,9,9,9,9,1,9,9,9,6,6,6,0,6,6,6,6,6,6,9,9,9,9,0,9,9,9,0,9,4,6,6,6,6,0,6,6,6,6,9,20,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,0,1,6,6,6,6,6,6,0,
16,69,69,69,69,69,69,0,69,69,69,69,0,69,69,2,69,47,3,69,69,0,69,2,69,2,69,47,69,69,69,69,69,69,69,59,59,47,59,59,59,59,59,59,59,59,59,14,59,59,59,59,59,6,59,59,47,47,59,59,59,0,59,59,59,0,59,47,59,59,69,59,59,59,1,0,0,47,59,59,47,59,59,69,59,59,59,47,59,69,69,69,69,69,69,69,69,59,69,69,8,
17,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,0,81,15,81,81,81,81,81,81,81,81,2,81,81,81,81,81,81,81,81,81,81,81,0,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,0,81,81,81,81,81,81,81,81,81,81,81,0,81,81,0,81,0,81,
18,9,9,9,9,9,2,9,4,9,9,9,9,0,0,3,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,0,4,4,3,4,4,4,4,4,4,4,4,4,0,4,0,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
20,18,0,18,18,18,18,18,18,18,18,0,18,0,0,18,18,18,18,18,0,18,18,18,18,18,18,18,18,18,18,18,0,18,18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,1,1,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,33,18,18,18,18,18,18,18,18,1,18,18,18,33,18,18,18,18,18,18,1,18,18,0,18,18,
21,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,13,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,
22,1,5,1,1,46,1,1,1,1,1,1,5,1,1,46,1,1,1,1,2,1,2,5,1,46,1,1,1,1,1,1,5,1,1,46,1,1,1,1,1,1,5,1,1,1,30,1,1,1,46,1,1,0,1,46,1,1,1,1,1,1,5,1,1,46,1,1,1,1,1,46,2,46,29,29,0,0,29,46,46,1,5,5,5,46,1,5,1,1,5,1,0,1,1,46,1,1,1,1,1,
23,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,
24,14,14,14,14,8,15,1,0,14,15,1,2,14,1,1,2,3,2,1,2,14,14,14,14,14,15,1,15,14,15,14,14,14,14,14,15,1,15,14,15,14,14,14,0,0,15,1,15,14,15,16,15,15,0,15,1,1,1,15,1,1,1,1,14,1,15,1,2,1,2,0,15,15,15,0,1,1,1,15,1,16,15,15,15,15,1,1,1,15,1,16,15,15,15,15,1,1,1,15,1,
25,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,1,0,1,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,10,10,1,10,1,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,11,0,11,1,11,1,1,1,1,1,11,1,4,1,11,1,1,1,1,
26,0,1,1,1,1,1,1,1,5,1,1,1,46,1,2,1,1,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
27,20,14,2,1,14,20,27,14,14,0,6,6,2,4,6,1,6,6,6,0,6,6,1,1,6,6,6,6,6,6,6,6,6,4,6,6,6,4,6,6,0,14,14,0,14,20,14,14,14,14,6,6,6,4,1,6,6,6,6,6,20,14,0,4,14,20,27,14,14,14,20,14,14,4,14,20,24,14,14,14,0,1,1,0,1,20,1,1,1,0,20,14,14,4,2,20,24,14,14,1,
28,19,18,19,19,19,19,21,19,19,21,19,21,19,19,19,19,21,19,0,21,19,21,19,19,19,19,21,19,19,21,19,21,19,19,19,19,21,19,19,21,19,21,19,19,19,19,21,19,19,21,19,21,19,19,19,19,21,0,19,21,0,21,19,0,19,19,21,19,19,0,19,2,19,19,19,0,21,19,19,21,19,21,19,19,19,19,81,19,19,21,19,21,19,19,19,19,21,0,19,21,
29,96,96,0,96,96,96,96,96,96,96,1,1,0,1,1,1,1,1,1,1,96,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,0,96,96,96,96,96,96,96,96,96,96,96,3,96,96,96,96,96,96,96,96,96,96,1,96,96,96,96,96,96,96,1,96,96,31,31,31,31,31,31,31,8,31,31,31,31,31,31,31,31,31,31,31,2,31,31,31,31,31,31,31,31,31,
30,38,38,38,38,38,38,38,38,38,38,38,38,38,2,38,38,38,38,38,38,38,38,38,38,0,38,38,38,38,38,38,38,38,38,38,38,20,38,38,38,38,1,38,38,38,38,38,38,38,38,38,38,1,38,38,38,38,0,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,20,38,38,38,1,38,38,38,38,38,38,38,38,38,38,38,38,38,
31,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,
32,1,2,1,1,1,2,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,2,1,0,1,1,1,1,1,1,1,2,1,28,1,2,2,2,1,2,1,0,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,
33,1,1,1,36,1,1,1,1,1,1,1,1,1,36,1,1,1,1,1,1,1,1,1,39,1,1,1,1,1,1,1,1,1,39,1,1,1,1,1,1,1,1,2,39,1,1,2,1,1,1,2,2,2,39,2,1,2,1,1,2,1,1,1,39,1,1,1,1,1,1,2,2,2,31,0,1,2,1,1,2,2,2,2,39,2,1,96,1,1,1,1,1,1,39,1,1,1,1,1,1,
34,35,35,35,35,35,35,1,35,35,230,35,35,35,35,35,35,1,35,35,35,2,2,35,0,0,0,0,0,0,0,35,35,0,35,35,35,2,35,35,35,1,1,35,35,35,1,1,35,1,35,35,35,35,35,35,35,1,35,35,35,1,35,35,35,35,35,1,35,35,35,1,1,35,35,0,1,1,35,35,35,35,35,4,4,35,35,1,35,35,35,2,2,35,35,35,1,1,4,35,35,
35,70,1,70,70,1,70,1,288,1,1,97,1,70,70,2,70,1,2,1,1,1,1,1,1,1,1,1,1,1,1,70,1,70,70,1,70,1,288,1,1,70,1,70,70,1,70,1,288,1,70,70,1,70,70,1,70,1,288,1,1,70,1,70,70,1,70,1,288,1,1,70,1,0,70,1,0,1,288,1,0,0,0,0,0,0,0,2,0,70,33,33,3,51,51,3,33,3,288,68,0,
36,6,6,1441,6,1441,6,6,6,1,1441,6,6,1441,6,1441,6,1,6,1441,1441,6,0,1441,6,899,6,1,6,899,899,6,6,899,6,899,6,1,6,899,899,6,6,899,6,899,6,1,6,899,1,6,6,899,6,899,6,1,6,899,899,6,6,899,6,899,6,6,6,899,899,6,6,586,6,586,6,1,7,586,586,6,6,586,6,586,1,1,3,586,586,6,6,387,6,387,6,1,6,387,387,
37,109,109,109,109,109,109,109,109,109,109,109,1,109,109,109,109,1,109,109,109,109,0,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,0,109,109,0,109,109,3,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,536,536,3,536,536,536,536,536,498,1,498,1,498,1,498,1,1,
38,482,1,482,482,482,482,0,482,482,482,0,2,482,482,482,482,482,482,0,482,482,482,482,1,482,482,482,482,482,482,482,482,482,0,482,482,482,0,482,482,12,482,482,0,482,482,482,482,482,26,482,482,482,482,482,5,482,482,482,482,130,11,482,482,482,482,482,482,482,482,482,1,482,482,482,482,482,482,482,482,482,482,482,1,482,482,482,111,482,482,482,482,482,482,482,482,482,482,482,482,
39,58,58,1,58,0,58,58,3,58,58,58,58,58,2,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,0,51,58,58,58,58,58,58,58,58,58,58,936,58,24,58,58,0,58,58,58,58,58,3,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,0,58,58,58,58,
40,198,12,198,198,198,941,198,198,198,198,198,198,198,198,198,831,198,198,5,198,198,198,198,198,198,831,5,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,440,198,198,831,198,198,176,198,198,198,198,198,198,198,198,198,198,198,5,198,198,198,198,831,198,198,198,198,198,0,198,198,198,831,198,0,198,198,198,198,198,198,198,831,23,198,198,198,4,198,198,198,198,831,1656,198,0,198,
41,568,568,0,0,568,0,568,0,0,0,1,1,0,0,1,0,1,0,0,0,568,568,0,0,568,0,568,0,0,0,568,568,0,0,568,0,568,0,568,568,568,568,568,530,568,239,568,530,568,530,568,568,568,568,568,568,568,530,530,530,818,1118,1,1118,1118,1118,1118,1118,762,762,1,1,1,1,1,1,1,1,1,1,568,568,1,1,568,1,568,1,1,1,568,568,1,530,1,530,568,568,568,568,
42,0,0,15425,0,0,0,15425,15425,12241,15425,0,0,15747,0,0,0,15747,15747,15747,15747,0,0,15747,0,0,0,15747,15747,48,15747,0,0,1,0,0,0,1,1,1,1,15747,14130,15425,1,15425,14130,1,1,15425,15425,14130,14130,15425,15425,15425,1,15425,15425,15425,15425,10,258,1,1,1,1,1,1,886,1,1,1,1,1,1,1,1,1,1,1,1,1,5803,1,1,1,14503,11786,8285,11786,11786,10164,10164,1,1,1,10164,10164,8285,8807,
43,4688,4688,4782,4688,4688,4688,4688,4688,4688,4688,4688,4688,4782,4688,4688,4688,4688,4688,4688,4688,4688,4688,4782,4688,4688,4688,4688,4688,4688,4688,4688,0,4782,12,4688,4688,4688,4688,4688,4688,4688,1,4688,215,4688,4688,4688,4688,0,4688,4688,4688,12,4688,4688,4688,4688,12,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,0,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,4688,0,4688,
44,
